experiment,accuracy,precision,recall,f1,roc_auc,pr_auc
random_over_sampler,0.716,0.3910690121786198,0.7100737100737101,0.5043630017452007,0.778120184899846,0.4690270225097455
smote,0.7175,0.39088397790055246,0.6953316953316954,0.5004420866489832,0.7753639618046398,0.4655345577596984
class_weight_balanced,0.7135,0.38722826086956524,0.7002457002457002,0.49868766404199477,0.7771654551315569,0.46791921719038454
random_under_sampler,0.7035,0.37890625,0.714987714987715,0.49531914893617024,0.7746729780628085,0.46761251886199
adasyn,0.6975,0.3730769230769231,0.714987714987715,0.4903117101937658,0.7668269193692923,0.46313434585911895
edited_nearest_neighbours,0.7925,0.4891304347826087,0.44226044226044225,0.4645161290322581,0.7643930525286458,0.4723292708935706
class_weight_custom_1_to_10,0.46,0.2635277582572031,0.9213759213759214,0.4098360655737705,0.7773335739437435,0.45994429366765033
baseline,0.808,0.5891472868217055,0.18673218673218672,0.2835820895522388,0.7747578086561138,0.47892814364307934
